Created on 05-14-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-08-14,ETHBTC,0.0454,0.04544,0.04194,0.04501,239648.95,10429.28
2018-08-13,ETHBTC,0.05038,0.05053,0.045,0.0454,184554.71,8859.92
2018-08-12,ETHBTC,0.05079,0.05079,0.05079,0.05079,0.0,0.0
2018-08-11,ETHBTC,0.05397,0.05417,0.0505,0.05079,87982.66,4584.51
2018-08-10,ETHBTC,0.05568,0.05651,0.05364,0.05397,133718.19,7426.96
2018-08-09,ETHBTC,0.05656,0.05719,0.05541,0.05568,117029.14,6611.18
2018-08-08,ETHBTC,0.05628,0.05755,0.05545,0.05656,129945.38,7377.55
2018-08-07,ETHBTC,0.0584,0.05865,0.05527,0.05628,126209.82,7253.88
2018-08-06,ETHBTC,0.05816,0.0587,0.05766,0.0584,100520.01,5854.57
2018-08-05,ETHBTC,0.05806,0.05855,0.05766,0.05816,88995.5,5169.07
2018-08-04,ETHBTC,0.05633,0.0586,0.05577,0.05806,117645.37,6689.46
2018-08-03,ETHBTC,0.05455,0.0565,0.0542,0.05633,121388.94,6728.54
2018-08-02,ETHBTC,0.0552,0.05559,0.05414,0.05455,94623.15,5177.47
2018-08-01,ETHBTC,0.05581,0.05643,0.05446,0.0552,103218.19,5732.14
2018-07-31,ETHBTC,0.05587,0.05632,0.05436,0.05581,113922.68,6332.59
2018-07-30,ETHBTC,0.05678,0.05707,0.0555,0.05587,98395.36,5552.82
2018-07-29,ETHBTC,0.05694,0.0571,0.05655,0.05678,81424.89,4623.46
2018-07-28,ETHBTC,0.05745,0.05752,0.05669,0.05694,78967.19,4512.91
2018-07-27,ETHBTC,0.05831,0.05895,0.0567,0.05745,95865.36,5557.14
2018-07-26,ETHBTC,0.05776,0.05886,0.05757,0.05831,107360.58,6237.58
2018-07-25,ETHBTC,0.05702,0.05818,0.05678,0.05776,119113.19,6849.09
2018-07-24,ETHBTC,0.05825,0.05934,0.05651,0.05702,162829.24,9441.27
2018-07-23,ETHBTC,0.06186,0.06188,0.05795,0.05825,117896.2,7031.25
2018-07-22,ETHBTC,0.06217,0.06284,0.06145,0.06186,82438.56,5125.99
2018-07-21,ETHBTC,0.06126,0.06327,0.06089,0.06217,94627.33,5915.87
2018-07-20,ETHBTC,0.0627,0.06278,0.06037,0.06126,124949.62,7711.31
2018-07-19,ETHBTC,0.06496,0.06511,0.06237,0.0627,115274.28,7377.29
2018-07-18,ETHBTC,0.06822,0.06869,0.06448,0.06496,149064.47,9952.41
2018-07-17,ETHBTC,0.07126,0.07148,0.068,0.06822,121902.21,8496.53
2018-07-16,ETHBTC,0.07075,0.0719,0.07015,0.07126,91405.73,6510.06
2018-07-15,ETHBTC,0.06932,0.07115,0.06914,0.07075,62565.59,4387.84
2018-07-14,ETHBTC,0.06953,0.07002,0.06915,0.06932,66094.27,4595.53
2018-07-13,ETHBTC,0.069,0.07052,0.06879,0.06953,79323.92,5536.79
2018-07-12,ETHBTC,0.06975,0.07026,0.06854,0.069,79450.15,5526.25
2018-07-11,ETHBTC,0.06865,0.06995,0.06757,0.06975,86465.15,5955.54
2018-07-10,ETHBTC,0.07079,0.07088,0.06753,0.06865,112234.67,7759.64
2018-07-09,ETHBTC,0.07253,0.0728,0.07058,0.07079,86762.61,6210.94
2018-07-08,ETHBTC,0.0719,0.0731,0.07165,0.07253,74290.46,5371.17
2018-07-07,ETHBTC,0.07119,0.0719,0.07014,0.0719,78027.05,5554.03
2018-07-06,ETHBTC,0.07161,0.07192,0.07001,0.07119,109831.67,7820.48
2018-07-05,ETHBTC,0.07092,0.0719,0.0707,0.07161,115612.37,8253.28
2018-07-04,ETHBTC,0.07087,0.07208,0.07058,0.07092,74025.08,5265.2
2018-07-03,ETHBTC,0.07199,0.07289,0.07063,0.07087,129405.85,9252.18
2018-07-02,ETHBTC,0.07115,0.07247,0.07061,0.07199,111694.69,7963.95
2018-07-01,ETHBTC,0.07106,0.07154,0.07056,0.07115,85995.0,6112.67
2018-06-30,ETHBTC,0.07011,0.07171,0.06993,0.07106,110558.05,7810.21
2018-06-29,ETHBTC,0.07183,0.07208,0.0691,0.07011,108824.83,7659.84
2018-06-28,ETHBTC,0.07196,0.07219,0.07065,0.07183,91277.55,6516.17
2018-06-27,ETHBTC,0.07083,0.07217,0.06996,0.07196,98562.74,7001.9
2018-06-26,ETHBTC,0.0734,0.07368,0.0707,0.07083,60303.9,4336.28
2018-06-25,ETHBTC,0.07403,0.07556,0.0728,0.0734,98778.91,7291.78
2018-06-24,ETHBTC,0.07695,0.07722,0.0727,0.07403,113015.48,8451.3
2018-06-23,ETHBTC,0.07642,0.07752,0.07564,0.07695,79776.12,6130.27
2018-06-22,ETHBTC,0.07833,0.07838,0.07508,0.07642,115611.91,8882.16
2018-06-21,ETHBTC,0.07935,0.08039,0.07785,0.07833,94657.25,7492.84
2018-06-20,ETHBTC,0.07981,0.07993,0.07848,0.07935,87902.25,6961.58
2018-06-19,ETHBTC,0.07719,0.08017,0.07692,0.07981,97834.63,7695.96
2018-06-18,ETHBTC,0.07707,0.07768,0.07635,0.07719,83175.65,6397.63
2018-06-17,ETHBTC,0.07659,0.07757,0.07646,0.07707,71100.35,5470.56
2018-06-16,ETHBTC,0.07635,0.0775,0.07588,0.07659,74886.54,5749.56
2018-06-15,ETHBTC,0.07827,0.07846,0.07463,0.07635,107350.69,8217.38
2018-06-14,ETHBTC,0.07558,0.0791,0.07271,0.07827,139662.72,10591.83
2018-06-13,ETHBTC,0.07556,0.07639,0.07225,0.07558,126994.49,9433.5
2018-06-12,ETHBTC,0.0773,0.0784,0.07441,0.07556,118827.9,9141.06
2018-06-11,ETHBTC,0.07754,0.07895,0.075,0.0773,106002.62,8245.29
2018-06-10,ETHBTC,0.07911,0.0795,0.0755,0.07754,121257.79,9470.83
2018-06-09,ETHBTC,0.07875,0.0795,0.0777,0.07911,81635.25,6452.02
2018-06-08,ETHBTC,0.0787,0.07929,0.07799,0.07875,97508.66,7686.35
2018-06-07,ETHBTC,0.07923,0.0797,0.07823,0.0787,104165.69,8231.87
2018-06-06,ETHBTC,0.0799,0.0801,0.079,0.07923,105663.26,8402.58
2018-06-05,ETHBTC,0.07892,0.0805,0.0777,0.0799,106634.27,8458.02
2018-06-04,ETHBTC,0.08023,0.0808,0.07773,0.07892,116842.7,9269.69
2018-06-03,ETHBTC,0.07735,0.08086,0.07735,0.08023,106297.73,8440.8
2018-06-02,ETHBTC,0.07698,0.07812,0.07651,0.07735,109656.36,8488.07
2018-06-01,ETHBTC,0.07722,0.07775,0.07592,0.07698,117694.67,9063.43
2018-05-31,ETHBTC,0.07559,0.07744,0.07528,0.07722,114433.98,8732.55
2018-05-30,ETHBTC,0.07594,0.0775,0.07419,0.07559,117907.6,8916.0
2018-05-29,ETHBTC,0.07214,0.07649,0.07207,0.07594,119865.14,8915.43
2018-05-28,ETHBTC,0.07771,0.0779,0.0715,0.07214,136236.62,10106.37
2018-05-27,ETHBTC,0.07996,0.08039,0.07658,0.07771,94514.33,7417.38
2018-05-26,ETHBTC,0.07851,0.08026,0.07782,0.07996,88562.59,7041.75
2018-05-25,ETHBTC,0.0794,0.08091,0.07732,0.07851,120150.14,9549.33
2018-05-24,ETHBTC,0.07705,0.0795,0.0753,0.0794,128119.04,9967.97
2018-05-23,ETHBTC,0.08042,0.08107,0.07576,0.07705,152871.19,12019.12
